date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:27:59	543980/543980	---M--	200	added ('OK')	image/jpeg	etag:%2284cec-5612998d614d2%22	http://markup.themewagon.com/tryfreya/assets/images/banner_2.jpg	/home/dhialinux/websites/culture/markup.themewagon.com/tryfreya/assets/images/banner_2.jpg	(from http://markup.themewagon.com/tryfreya/)
22:28:00	43970/43970	---M--	200	added ('OK')	image/jpeg	etag:%22abc2-5612595a330d2%22	http://markup.themewagon.com/tryfreya/assets/images/img_16.jpg	/home/dhialinux/websites/culture/markup.themewagon.com/tryfreya/assets/images/img_16.jpg	(from http://markup.themewagon.com/tryfreya/)
22:28:15	258947/258947	---M--	200	added ('OK')	image/jpeg	etag:%223f383-5612595a2c372%22	http://markup.themewagon.com/tryfreya/assets/images/banner_4.jpg	/home/dhialinux/websites/culture/markup.themewagon.com/tryfreya/assets/images/banner_4.jpg	(from http://markup.themewagon.com/tryfreya/)
22:28:23	183508/183508	---M--	200	added ('OK')	image/jpeg	etag:%222ccd4-5612998d662f2%22	http://markup.themewagon.com/tryfreya/assets/images/img_14.jpg	/home/dhialinux/websites/culture/markup.themewagon.com/tryfreya/assets/images/img_14.jpg	(from http://markup.themewagon.com/tryfreya/)
22:28:24	136429/136429	---M--	200	added ('OK')	image/jpeg	etag:%22214ed-5612595a330d2%22	http://markup.themewagon.com/tryfreya/assets/images/img_17.jpg	/home/dhialinux/websites/culture/markup.themewagon.com/tryfreya/assets/images/img_17.jpg	(from http://markup.themewagon.com/tryfreya/)
22:28:26	11084/11084	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd49fa-2b4c%22	https://cdnjs.cloudflare.com/ajax/libs/modernizr/2.8.3/modernizr.min.js	/home/dhialinux/websites/culture/cdnjs.cloudflare.com/ajax/libs/modernizr/2.8.3/modernizr.min.js	(from http://markup.themewagon.com/tryfreya/)
22:28:30	86659/86659	---M-Z	200	added ('OK')	application/javascript	etag:%2215283-5612595a459b2-gzip%22	http://markup.themewagon.com/tryfreya/assets/lib/jquery/dist/jquery.min.js	/home/dhialinux/websites/culture/markup.themewagon.com/tryfreya/assets/lib/jquery/dist/jquery.min.js	(from http://markup.themewagon.com/tryfreya/)
22:28:32	50564/50564	---M-Z	200	added ('OK')	application/javascript	etag:%22c584-5612595a39e32-gzip%22	http://markup.themewagon.com/tryfreya/assets/lib/bootstrap/dist/js/bootstrap.min.js	/home/dhialinux/websites/culture/markup.themewagon.com/tryfreya/assets/lib/bootstrap/dist/js/bootstrap.min.js	(from http://markup.themewagon.com/tryfreya/)
22:28:34	5559/5559	---M-Z	200	added ('OK')	application/javascript	etag:%2215b7-5612595a44a12-gzip%22	http://markup.themewagon.com/tryfreya/assets/lib/imagesloaded/imagesloaded.pkgd.min.js	/home/dhialinux/websites/culture/markup.themewagon.com/tryfreya/assets/lib/imagesloaded/imagesloaded.pkgd.min.js	(from http://markup.themewagon.com/tryfreya/)
22:28:36	12695/12695	---M-Z	200	added ('OK')	application/javascript	etag:%223197-5612595a44a12-gzip%22	http://markup.themewagon.com/tryfreya/assets/lib/jquery-menu-aim/jquery.menu-aim.js	/home/dhialinux/websites/culture/markup.themewagon.com/tryfreya/assets/lib/jquery-menu-aim/jquery.menu-aim.js	(from http://markup.themewagon.com/tryfreya/)
